text,label
i have never been charged for making an atm cash withdrawal before but i am now being charged a fee to withdraw cash what happened,19
hello i have lost my phone and im worried someones going to steal money from me,42
can you tell me where my readily available cash has come from,70
how do i get refills to my card when im traveling,4
i made a transfer to my friend earlier and she hasnt received it yet whats the hold up,66
do i need my phone to use the app,42
my salary comes in gbp can i change my options somewhere,50
why was i double charged,63
how do i find my pin number,38
is there an additional cost to exchange currencies,31
i cant get a contactless payment to work,23
what is the cost of a transfer,56
the exchange rate applied is wrong for my international purchase,17
at what places accept my card,10
how long does a topup take to go through,47
is it possible to give a second card from my account to my daughter,39
i noticed the exchange rate for cash withdrawal isnt right,76
why was my topup declined,61
i cannot withdraw money from the atm,26
my contactless payments dont work,23
i see a transfer fee but to my understand that should have been free what happened,64
how old do i have to be to open an account,1
i need help i lost my card,41
please delete my account i am not happy with the service from your company,55
how can i get my pin unblocked,49
how long does eu transfer take i bought something online a couple days ago sent the money immediately online but the seller says it is still not there yet,48
where can money withdrawals be made,3
i accidentally put in the wrong pin too many times and now i need to unblock it can you assist with this,49
why am i being charged for withdrawing cash but havent in the past,19
my card did not go through in a shop,25
wheres my top up code,71
why have i been charged for pulling cash out of my own account,19
how much will i be charged for exchanging foreign currency,31
i have a payment that has not gone through yet,45
what are the time frames for the money to be available in my account,67
is it possible to do auto top up,4
why was my cash withdrawal given the wrong exchange rate,76
is there a reason why my card was declined when i attempted to withdraw money,26
i would like a disposable virtual card could i get one,37
hello can you help figure out why the recent transfer from my uk bank account isnt showing up,5
how come when i tried to pay contactless at the bus it didnt work,23
how do i top up,65
are there any exchange fees,31
how do you decide what your exchange rates are,32
the wrong exchange rate was used for my cash withdrawal,76
my card was confiscated by an atm how do i get my card back,18
do you offer visa or mastercard,73
i keep checking to see if ive received a refund that i requested from a seller but im not seeing the refund i need you to help me get the refund,51
is there a maximum i can top up,60
how much do i have to pay for the exchange fee,31
why is topup verified,71
im not sure where this charge came from,16
my phone is not with me at the moment so i will not be able to access the app,42
i believe that my transfer hasnt gone through,35
why wasnt my contactless accepted at the metro,23
i would like to track a card sent to me how do i do that,11
i cannot see a refund in my account,51
will i be charged for transfers,64
can you tell me what the disposable cards are used for,37
can i use my american express card with apple pay,2
i think you reverted my top up,61
why would you decline my card,25
my cash withdrawal is showing as pending why,46
where do i find the virtual card,40
i lost my card can you help me,41
does apple pay give the option to top up,2
i need to change my phone number,30
please how do i order a card,43
can you tell me what i need to do to have my pin changed,21
why was i charged for transferring money,64
the atm didnt give me the card back,18
good day in reviewing my credit card activity over the last several days i see a repeated charge for a restaurant that i went to the charge was put through twice so i would like one of the charges corrected and the amount that was withdrawn to be reinstated please,63
i am still waiting on my card,11
i lost my phone,42
i am having difficulties to verify my identity,68
my top up did not go through yet,47
where is a atm that accepts mastercard,3
i want to close my account i will never do business with you again,55
i saw that my transfer was declined,27
how do i see my source of funds,70
why has my card payment been declined,25
the atm kept my card,18
the atm machine stole my card,18
is there a limit to how high i can topup,60
how do i update my address,30
my card information seems to have been stolen i dont know where these transactions came from and ive never even been to the city where they were made i need my card blocked asap so this person cant keep using my card,22
why hasnt my card arrived yet,11
will i get a visa or mastercard,73
can i use my american express to add money to my account,54
if i want to add funds to the account using american express how do i do that,54
